"Activity" "Subject" "TBodyAccMean" "tGravityAcc.mean...X" "fBodyGyro.mean...X" "fBodyAccJerk.mean...Z"
"Laying" 1 0.22159824394 -0.24888179828 -0.850249174586 -0.9480609042
"Laying" 2 0.281373403958333 -0.509754238125 -0.9864311425 -0.986197134583333
"Laying" 3 0.275516852741935 -0.241758478064516 -0.970167262903226 -0.979122344354839
"Laying" 4 0.263559214981481 -0.420664662222222 -0.967203736481482 -0.975383329444444
"Laying" 5 0.278334325576923 -0.483470597692308 -0.975797491730769 -0.983250309423077
"Laying" 6 0.248656520140351 -0.47670987877193 -0.935439769649123 -0.954425844736842
"Laying" 7 0.250176694038462 -0.502814250576923 -0.953684547692308 -0.969524977692308
"Laying" 8 0.261254282907407 -0.405930036111111 -0.957903886111111 -0.962111136666667
"Laying" 9 0.2591955368 -0.5802528348 -0.930297921 -0.955909215
"Laying" 10 0.280230574137931 -0.453069737586207 -0.953793912068965 -0.972592212931034
"Laying" 11 0.280592970877193 -0.134832031403509 -0.97618747122807 -0.979564844210526
"Laying" 12 0.260113433 -0.3785920653 -0.9566538865 -0.967149695166667
"Laying" 13 0.276716360483871 -0.156852206467742 -0.96946349 -0.980994601935484
"Laying" 14 0.233275439803922 -0.145483631627451 -0.949959040588235 -0.968593195686275
"Laying" 15 0.2894756525 -0.1719930545 -0.955413596111111 -0.97477568375
"Laying" 16 0.274227162571429 -0.206783742242857 -0.975892407428571 -0.985544945285714
"Laying" 17 0.269780085577465 -0.19913309 -0.971949211126761 -0.98038005915493
"Laying" 18 0.274691576923077 -0.220600509076923 -0.992436927692308 -0.989116865846154
"Laying" 19 0.272653733493976 -0.680043155060241 -0.974196217590361 -0.986506488795181
"Laying" 20 0.239507882205882 -0.472431415573529 -0.982619403529412 -0.982876212058823
"Laying" 21 0.271325472455556 -0.174349174822222 -0.973410473 -0.981630805333333
"Laying" 22 0.279959721194444 -0.418494577083333 -0.95336692 -0.970918941666667
"Laying" 23 0.274038007986111 -0.391564962777778 -0.979676078055556 -0.982415511805556
"Laying" 24 0.272850494930556 -0.359292534027778 -0.976570564027778 -0.981549689583333
"Laying" 25 0.250791828613699 -0.461102531369863 -0.890517539315068 -0.962632674520548
"Laying" 26 0.271645864540789 -0.621309715263158 -0.988386324868421 -0.987308252236842
"Laying" 27 0.274102492432432 -0.530434604864865 -0.987028539054054 -0.988033129054054
"Laying" 28 0.2759134825 -0.490334541875 -0.946804234625 -0.970251565375
"Laying" 29 0.287295196811594 -0.346789842753623 -0.99312260884058 -0.992018447826087
"Laying" 30 0.281033900571429 -0.344737755285714 -0.971789052714286 -0.975632420428571
"Sitting" 1 0.261237565425532 0.831509933404255 -0.976161464042553 -0.986053092340425
"Sitting" 2 0.27708735173913 0.940477273043478 -0.982621389565217 -0.985129050217391
"Sitting" 3 0.257197599134615 0.901098984615385 -0.957550637692308 -0.970845669423077
"Sitting" 4 0.27153827992 0.8693030064 -0.9605896358 -0.9751549056
"Sitting" 5 0.273694139545455 0.880731443863636 -0.957117251818182 -0.969501330681818
"Sitting" 6 0.276778487454545 0.933692934909091 -0.939671400545455 -0.954199785636364
"Sitting" 7 0.284674637291667 0.969147824375 -0.9436317575 -0.968503504791667
"Sitting" 8 0.267491472934783 0.832453878043478 -0.982200309782609 -0.982995311086956
"Sitting" 9 0.24832674354 0.9163245106 -0.950315237 -0.9575269752
"Sitting" 10 0.270612056481481 0.791887198148148 -0.986477363333333 -0.986056767777778
"Sitting" 11 0.276590197358491 0.871963798301887 -0.985106875471698 -0.981124861320755
"Sitting" 12 0.275007224901961 0.926228975490196 -0.968528985294118 -0.975551564117647
"Sitting" 13 0.274328499591837 0.92557651244898 -0.983218202857143 -0.985261204693878
"Sitting" 14 0.279990577037037 0.939038759814815 -0.978577117592593 -0.97275196962963
"Sitting" 15 0.27290337979661 0.89036426220339 -0.986152580338983 -0.984908418474576
"Sitting" 16 0.280768574492754 0.942457377971014 -0.978632856956522 -0.981178036811594
"Sitting" 17 0.2773570196875 0.94488374765625 -0.98841106765625 -0.9888280653125
"Sitting" 18 0.27727001877193 0.909816469298246 -0.989961500350877 -0.988689671578947
"Sitting" 19 0.273830316164384 0.581371509041096 -0.981743664931507 -0.98398048
"Sitting" 20 0.278045439090909 0.924454522424242 -0.969913284393939 -0.973211461363636
"Sitting" 21 0.277539616823529 0.940031368 -0.984893559764706 -0.983434322941176
"Sitting" 22 0.273583822709677 0.839305928709677 -0.977266731129032 -0.975330718709677
"Sitting" 23 0.273351251617647 0.936509242941176 -0.977149986617647 -0.972656226029412
"Sitting" 24 0.273475690147059 0.919637604411765 -0.985676523823529 -0.981971300147059
